Código Región,Nombre Región,Código Municipio,Nombre Municipio,Código Habilitación Prestador Salud,Razón Social Organización,Nombre Sede,Número NIT,Dirección,Número Teléfono,Dirección Correo Electrónico,Punto
7,Oriente,5652,San Francisco,56520601601,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,"800,133,887",Carrera 10 No 9 -09,8323027,gerencia@esehospitaldesanfrancisco-antioquia.gov.co,"(5.964372, -75.100077)"
6,Occidente,5656,San Jerónimo,56560509201,E.S.E. HOSPITAL SAN LUIS BELTRAN,E.S.E. HOSPITAL SAN LUIS BELTRAN,"890,981,848",KR 10 # 23-08,8585997,gerencia@hospitaldesanjeronimo.gov.co,"(6.444441, -75.729146)"
5,Norte,5658,San José de la Montaña,56580559101,E.S.E. HOSPITAL LAUREANO PINO,E.S.E. HOSPITAL LAUREANO PINO,"890,984,427",KR 21 # 15-11,5748622663,"hospitallaureanopino@gmail.com, snmohs01@edatel.net.co,","(6.847521, -75.681767)"
9,Urabá,5659,San Juan de Urabá,56590215901,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,"800,143,438",KR 20 # 24-20,8212626- 8212627,contactenos@esehhagsanjuandeuraba-antioquia.gov.co,"(8.762896, -76.525698)"
7,Oriente,5660,San Luis,56600227701,E.S.E. HOSPITAL SAN RAFAEL DE SAN LUIS,E.S.E. HOSPITAL SAN RAFAEL DE SAN LUIS,"890,982,091",KR 19 #17-63,5748348505,gerencia@hospitaldesanluis.com.co,"(6.041148, -74.991914)"
5,Norte,5664,San Pedro de los Milagros,56640448101,E.S.E. HOSPITAL SANTA ISABEL,E.S.E. HOSPITAL SANTA ISABEL,"800,014,405",CL 43A #  52A-109,5748687610,hospital@esesantaisabel.gov.co,"(6.45668, -75.559802)"
9,Urabá,5665,San Pedro de Urabá,56650551401,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,E.S.E. HOSPITAL OSCAR EMIRO VERGARA CRUZ,"890,985,660",CL 54 # 47 - 102,5748205065,gerencia@esehoevc.gov.co,"(8.284117, -76.383648)"
7,Oriente,5667,San Rafael,56670151201,E.S.E. HOSPITAL PRESBITERO ALONSO MARIA GIRALDO,ESE HOSPITAL PBRO ALONSO MARIA GIRALDO,"891,982,128",KR 29 # 26-189,5748586612,gerencia@esepresbiteroalonso-sanrafael.gov.co,"(6.294397, -75.026343)"
4,Nordeste,5670,San Roque,56700581401,E.S.E. HOSPITAL MUNICIPAL SAN ROQUE,ESE HOSPITAL MUNICIPAL SAN ROQUE,"890,906,211",CL 25 # 18-30,5748656735,esehospitalsr@gmail.com,"(6.487918, -75.018205)"
7,Oriente,5674,San Vicente,56740479201,E S E HOSPITAL MUNICIPIO DE SAN VICENTE,E S E HOSPITAL MUNICIPIO DE SAN VICENTE,"890,983,738",AV CARVAJAL # 31-36,5748544100,snvihs01@edatel.net.co,"(6.282818, -75.332085)"
8,Suroeste,5679,Santa Bárbara,56790458201,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTAMARIA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTAMARIA,"890,905,198",KR 50 # 45 90,5748463131,jorge.valencia@hospitalsantamaria.gov.co,"(5.87398, -75.565225)"
6,Occidente,5042,Santa Fé de Antioquia,50420547801,E.S.E. HOSPITAL SAN JUAN DE DIOS ANTIOQUIA,E.S.E. HOSPITAL SAN JUAN DE DIOS ANTIOQUIA,"890,982,264",CL 10 # 3-24,5748531020,info@esehospitalsantafedeantioquia.gov.co,"(6.553647, -75.823157)"
5,Norte,5686,Santa Rosa de Osos,56860464901,E.S.E. HOSPITAL SAN JUAN DE DIOS DE SANTA ROSA DE OSOS,E.S.E. HOSPITAL SAN JUAN DE DIOS DE SANTA ROSA DE OSOS,"890,981,298",KR 28 # 26A-34,5748609474,stlo01@edatel.com.co,"(6.646108, -75.461059)"
4,Nordeste,5690,Santo Domingo,56900483701,ESE HOSPITAL SAN RAFAEL DE SANTO DOMINGO,ESE HOSPITAL SAN RAFAEL,"890,906,560",KR 16 # 18 29,5748621155,stdohs01@edatel.net.co,"(6.474783, -75.162024)"
4,Nordeste,5736,Segovia,57360612501,E.S.E. HOSPITAL SAN JUAN DE DIOS,E.S.E. HOSPITAL SAN JUAN DE DIOS,"800,080,586",CAMPAMENTO LA SALADA,8317382 - 8315992,gerencia@hospitaldesegovia.gov.co,"(7.079003, -74.693899)"
7,Oriente,5756,Sonsón,57560239401,EMPRESA SOCIAL DEL ESTADO SAN JUAN DE DIOS,EMPRESA SOCIAL DEL ESTADO SAN JUAN DE DIOS,"890,980,003",CL 16 # 7 - 151,8695050,institucional@hospitalsonson.gov.co,"(5.716899, -75.309005)"
6,Occidente,5761,Sopetrán,57610561201,EMPRESA SOCIAL DEL ESTADO HORACIO MUÑOZ SUESCUN,EMPRESA SOCIAL DEL ESTADO HORACIO MUÑOZ SUESCUN,"890,982,184",CL BENJAMIN HERRERA # 11 - 53,5748541555,gerencia@hospitalsopetranantioquia.gov.co,"(6.500707, -75.743845)"
8,Suroeste,5789,Támesis,57890457901,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,E.S.E HOSPITAL SAN JUAN DE DIOS,"890,980,855",KR 10 # 13 - 52,5748494802,hospital@tamesis-antioquia.gov.co,"(5.664982, -75.713031)"
2,Bajo Cauca,5790,Tarazá,57900551301,E.S.E. HOSPITAL SAN ANTONIO,E.S.E. HOSPITAL SAN ANTONIO,"890,984,696",CL 26 # 32-1311,5748365616,gerenciahospitaltaraza@gmail.com; calidadhospitaltaraza@gmail.com,"(7.579264, -75.399406)"
8,Suroeste,5792,Tarso,57920458701,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PABLO,E.S.E SAN PABLO,"890,982,182",KR 18 # 21 - 02,5748458606,hospitaltarso@gmail.com,"(5.865957, -75.820945)"
8,Suroeste,5809,Titiribí,58090434901,ESE HOSPITAL SAN JUAN DE DIOS,ESE HOSPITAL SAN JUAN DE DIOS,"890,980,346",Kr Bolivar 18-55,(4) 848 27 40,hospitaltitiribi@hotmail.com,"(6.062678, -75.791556)"
5,Norte,5819,Toledo,58190612301,E.S.E. HOSPITAL PEDRO CLAVER AGUIRRE,EMPRESA SOCIAL DEL ESTADO HOSPITAL PEDRO CLAVER AGUIRRE Y,"800,139,704",CALLE 11 NUMERO 09-07,8619061,gerenciahpca@gmail.com,"(7.011666, -75.691509)"
9,Urabá,5837,Turbo,58370228701,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO VALDERRAMA,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO VALDERRAMA,"890,981,137",KM 1 SALIDA TURBO - APARTADO,5748272088,turbhs01@edatel.net.co,"(8.094491, -76.714541)"
6,Occidente,5842,Uramita,58420643101,EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIAS PUERTA,EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIAS PUERTA,"800,065,395",CL 20  # 22 170  BRR EL TOTUMO,5748574048,uramhs01@edatel.net.co,"(6.902526, -76.174049)"
8,Suroeste,5847,Urrao,58470483901,EMPRESA SOCIAL DEL ESTADO IVAN RESTREPO GOMEZ,ESE HOSPITAL IVAN RESTREPO GOMEZ,"890,980,971",KR 32 # 23-61,8503898,gerencia@hospitalurrao.gov.co,"(6.311033, -76.132915)"
5,Norte,5854,Valdivia,58540457701,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JAUN DE DIOS VALDIVIA,E.S.E HOSPITAL SAN JUAN DE DIOS DE VALDIVIA,"891,982,129",KR 8 # 7 - 18,5748360218,esevaldivia@gmail.com,"(7.289894, -75.392647)"
8,Suroeste,5856,Valparaiso,58560238201,E.S.E. HOSPITAL SAN JUAN DE DIOS,E.S.E. HOSPITAL SAN JUAN DE DIOS,"890,980,828",CRA 12 NRO 6-31,8493854,admonesevalparaiso@gmail.com,"(5.614395, -75.624261)"
4,Nordeste,5858,Vegachí,58580629401,E.S.E. HOSPITAL SAN CAMILO DE LELIS,E.S.E. HOSPITAL SAN CAMILO DE LELIS,"800,114,286",CALLE 49 # 40 - 209,8305122/ 8305698/8305474 3103709160,gerenciahospitalvegachi@gmail.com,"(6.762892, -74.788828)"
8,Suroeste,5861,Venecia,58610145201,E.S.E.  HOSPITAL SAN RAFAEL DE VENECIA,ESE HOSPITAL SAN RAFAEL DE VENECIA,"890,980,367",CL 52 # 50-82,5748490313,cad@hospitalvenecia.gov.co,"(5.965161, -75.735084)"
9,Urabá,5873,Vigia del Fuerte,58730436301,EMPRESA SOCIAL DEL ESTADO HOSPITAL ATRATO MEDIO ANTIOQUEÑO,E.S.E HOSPITAL ATRATO MEDIO ANTIOQUEÑO,"811,020,943",CRA 1°#20A-66 BARRIO PUERTO CARIBE,5748678151,esehama@esehama-vigiadelfuerte-antioquia.gov.co,"(6.589922, -76.879578)"
4,Nordeste,5885,Yalí,58850211201,E.S.E. HOSPITAL LA MISERICORDIA,E.S.E. HOSPITAL LA MISERICORDIA,"890,982,162",CL 18 # 23-24,5748675655,yalihs01@edatel.net.co,"(6.673346, -74.842429)"
5,Norte,5887,Yarumal,58870228401,E.S.E. HOSPITAL SAN JUAN DE DIOS YARUMAL,E.S.E. HOSPITAL SAN JUAN DE DIOS YARUMAL,"890,981,726",KR 23 # 12 - 13,094 8 53 73 73,cuentasmedicas@hospitalyarumal.gov.co,"(6.957323, -75.414931)"
4,Nordeste,5890,Yolombó,58900243101,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE YOLOMBO,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE YOLOMBO,"890,981,536",KR 24 # 13 - 466,5748654859,esehospitalyolombo@gmail.com,"(6.597681, -75.017438)"
3,Magdalena Medio,5893,Yondó,58930322701,ESE HOSPITAL HECTOR ABAD GOMEZ,ESE HOSPITAL HECTOR ABAD GOMEZ,"800,014,884",KR 58 # 47B-50,5748325050,esehectorabadgomez@hospitalyondo.gov.co,"(7.005532, -73.914267)"
2,Bajo Cauca,5895,Zaragoza,58950588401,ESE HOSPITAL SAN RAFAEL,ESE HOSPITAL SAN RAFAEL,"890,981,117",Brr San Gregorio Diagonal Urbanización Miraflores,5748389044,zarahs01@edatel.net.co,"(7.491112, -74.868221)"
